"","Model","MAE","MAPE","RMSE"
"197","Linear Model",241.99,0.139559068063825,346.41
"2101","Linear w/ lag",42.29,0.0249990398928951,78.89
"3106","ARIMA",114.95,0.0683781062754734,232.08
"4106","Stacked Model",42.85,0.0260833141917099,53.15
"597","Stacked Model w/ Polynomial",44.64,0.0270787123095475,55.59
"198","Linear Model",267.07,0.157880064955735,368.1
"2102","Linear w/ lag",47.58,0.0264147897193199,122.5
"3107","ARIMA",104.62,0.0603051962409155,219.25
"4107","Stacked Model",38.94,0.0234227059330292,47.66
"598","Stacked Model w/ Polynomial",40.78,0.0245145198078936,50.16
"199","Linear Model",248.98,0.146122770134181,357.4
"2103","Linear w/ lag",49.77,0.0274092991719338,148.31
"3108","ARIMA",113.48,0.0674005763564396,226.71
"4108","Stacked Model",41.67,0.0252218192954505,53.3
"599","Stacked Model w/ Polynomial",43.04,0.0260056513611601,55.79
"1100","Linear Model",245.08,0.147356733078482,349.07
"2104","Linear w/ lag",49.7,0.0282692664705364,128.56
"3109","ARIMA",110.71,0.0665226721922583,221.65
"4109","Stacked Model",34.07,0.0207487481678908,43.9
"5100","Stacked Model w/ Polynomial",36.14,0.0219538370129945,46.68
"1101","Linear Model",255.58,0.15181203477785,347.98
"2105","Linear w/ lag",48.88,0.0272504718100383,143.78
"3110","ARIMA",98.83,0.0580978167928798,214.15
"4110","Stacked Model",37.5,0.0225868052410782,49.07
"5101","Stacked Model w/ Polynomial",38.91,0.02344298332835,51.25
"1102","Linear Model",239.69,0.139480312585471,337.98
"2106","Linear w/ lag",41.43,0.0231110060308985,120.66
"3111","ARIMA",111.67,0.064618574612354,221.86
"4111","Stacked Model",37.88,0.0230897144318937,49.28
"5102","Stacked Model w/ Polynomial",40.38,0.0245117234657501,52.88
"1103","Linear Model",243.29,0.140491193149741,348.41
"2107","Linear w/ lag",42.25,0.024823272219169,91.62
"3112","ARIMA",106.06,0.0624531039169493,222.04
"4112","Stacked Model",39.47,0.0240383777866424,48.66
"5103","Stacked Model w/ Polynomial",41.15,0.0250224143416284,51.34
"1104","Linear Model",242.59,0.143672194595285,341.24
"2108","Linear w/ lag",40.47,0.0229752414565878,90.25
"3113","ARIMA",116.72,0.068022474699677,224.6
"4113","Stacked Model",42.98,0.0243073927519695,57.02
"5104","Stacked Model w/ Polynomial",45.15,0.0256316705506751,59.84
"1105","Linear Model",239.83,0.140865769702312,337.45
"2109","Linear w/ lag",45.08,0.025459022958372,112.89
"3114","ARIMA",108.47,0.0639527647304978,221.63
"4114","Stacked Model",38.79,0.0232329967828124,52.23
"5105","Stacked Model w/ Polynomial",40.43,0.0241703412303896,54.37
"1106","Linear Model",243.08,0.140860269285921,354.33
"2110","Linear w/ lag",39.08,0.0222306989832391,80.44
"3115","ARIMA",111.25,0.0654773579846922,228.48
"4115","Stacked Model",36.39,0.0215907806805958,48.25
"5106","Stacked Model w/ Polynomial",39.21,0.0231406047214197,52.81
"1107","Linear Model",231.78,0.136750307556042,334.14
"2111","Linear w/ lag",38.42,0.0228487150561339,78.64
"3116","ARIMA",107.12,0.0650418994910284,215.91
"4116","Stacked Model",40.79,0.0254763263866731,52.05
"5107","Stacked Model w/ Polynomial",42.28,0.0263080465808509,54.03
"1108","Linear Model",246.28,0.143234761971287,359.68
"2112","Linear w/ lag",48.9,0.026932377150991,160.95
"3117","ARIMA",114.15,0.0679176512128744,232.42
"4117","Stacked Model",45.75,0.0272342973888688,57.12
"5108","Stacked Model w/ Polynomial",47.54,0.0283248187577241,59.29
"1109","Linear Model",240.76,0.137939931202177,339.41
"2113","Linear w/ lag",35.07,0.0200652297056374,84.97
"3118","ARIMA",110.54,0.0652514116594515,221.62
"4118","Stacked Model",41.59,0.0245218226351054,53.64
"5109","Stacked Model w/ Polynomial",43.05,0.0253781350810674,55.65
