"","Model","MAE","MAPE","RMSE"
"478","Stacked Model",36.59,0.0218398702156376,47.29
"569","Stacked Model w/ Polynomial",38.2,0.022780280957502,50.38
"170","Linear Model",247.73,0.145230218547181,348.98
"274","Linear w/ lag",42.72,0.0244774400558146,104.92
"379","ARIMA",103.91,0.0604059942757537,221.68
"479","Stacked Model",36.2,0.0224757593433484,48
"570","Stacked Model w/ Polynomial",37.76,0.0233776354449164,50.43
"171","Linear Model",253.05,0.148259585322475,362.82
"275","Linear w/ lag",48.82,0.0272173644939723,152.73
"380","ARIMA",104.42,0.0624493123530837,223.15
"480","Stacked Model",39.44,0.0249413441677337,51.33
"571","Stacked Model w/ Polynomial",41.16,0.0259985427427176,53.65
"172","Linear Model",244.4,0.14542688732865,342.77
"276","Linear w/ lag",41.02,0.0243096407704777,83.8
"381","ARIMA",109.74,0.0656287133138103,223.71
"481","Stacked Model",42.62,0.0248509302232525,55.41
"572","Stacked Model w/ Polynomial",43.61,0.0254343843698077,57
"173","Linear Model",243.2,0.144346830987894,345.54
"277","Linear w/ lag",37.24,0.021566140163733,75.37
"382","ARIMA",111.65,0.0650347599292233,228.31
"482","Stacked Model",40.09,0.0242626050159824,52.39
"573","Stacked Model w/ Polynomial",41.44,0.0250227850442298,54.56
"174","Linear Model",259.72,0.151453792548629,354.11
"278","Linear w/ lag",41.01,0.0228717734469177,116.56
"383","ARIMA",98.4,0.0583670093744885,218.22
"483","Stacked Model",34.69,0.0213093324020726,43.9
